ENSG,ENSG00000198938.2,ENSG00000198712.1,ENSG00000198886.2,ENSG00000198804.2,ENSG00000198840.2,ENSG00000198899.2,ENSG00000198727.2,ENSG00000210082.2,ENSG00000142515.13,ENSG00000263639.4
TCGA-EJ-8470-01A,4175.1308949,5112.30649865,5402.53486396,5932.84215758,3460.75210703,3571.76510308,3083.24448278,1309.26334038,5579.61092685,5900.05924346
TCGA-XK-AAIR-01A,8286.98705129,10065.127164799998,8785.92679708,5582.56313525,3523.89325471,4476.90564739,3603.88100233,2759.55262897,5199.01979224,973.467588693
TCGA-VP-A87J-01A,3697.55397749,3959.99843423,3345.27318897,3374.36538806,1551.03699641,1439.93364058,2278.39204254,1154.87220986,5954.79997317,102.109518965
TCGA-G9-6363-01A,1849.11095465,1676.65776246,1205.26149287,699.2065156230002,1518.08839664,920.8622314360001,761.136436397,1917.8754342,3406.53257911,370.041659651
TCGA-J9-A52C-01A,14414.7514069,15264.4147936,10867.0496746,11305.01625,7491.22874044,9367.92014194,7614.02066341,7142.52534041,2785.39779202,1061.71477454
TCGA-J9-A52E-01A,18272.1498934,14147.717663100002,9639.0160172,4228.75686912,11904.5872593,8644.18839388,10338.8605912,5920.36777341,820.086128845,52.02911394310001
TCGA-EJ-8472-01A,9961.17581642,9170.56227004,8804.09842313,9306.24494161,5762.54369325,7761.25851261,6467.89968371,3379.90020932,3274.92768825,695.929759872
TCGA-KK-A8IG-01A,15770.9325929,16254.8591441,13204.430534,4363.11359399,12303.8417213,10294.6195234,9771.4461077,5554.40297384,5456.38874069,2068.14768819
TCGA-EJ-7794-11A,2730.54623837,2338.23512455,2789.77500851,3056.88054974,2223.5912937,2220.06338818,2213.51242498,1932.16298279,1458.00744475,2105.66428681
TCGA-HC-8258-01B,12821.6036351,15518.8240674,29880.0016175,13944.3083545,9119.87670083,14697.1613314,17234.3723402,40094.8014874,1281.27708049,327.076325098
TCGA-G9-6366-01A,10753.2812031,9321.72343703,5621.36552277,9211.30655891,5310.49640777,6213.47507014,5801.25857452,4258.73602037,4283.48156746,7210.08328674
TCGA-EJ-7328-11A,4949.7398626,3836.37306096,5450.78278243,5277.12145817,3164.48525181,3778.22176557,3399.29729194,3931.49887476,1313.73349507,5104.33903407
TCGA-CH-5764-01A,5309.41625722,4840.42028822,5187.64081516,5457.61344777,4610.61087551,4234.40937074,4837.34216868,2367.37475551,2846.6787004000007,817.8754571110001
TCGA-EJ-5506-01A,6445.32651811,6926.7530957,6325.49577788,7877.262876299998,4181.62279598,4891.74182982,5416.22644885,3954.45245585,2155.65086219,5711.47093408
TCGA-CH-5744-01A,7856.43138796,7823.91969914,8369.71872281,7962.65537132,4380.82628451,6763.40056929,5949.50214608,5212.17660875,7786.88508612,2209.93542615
TCGA-EJ-7786-01A,6297.74346913,5932.91315081,5553.62229498,6963.6910978,4592.36850493,4794.37676098,3855.13178582,2577.05828312,5444.32740487,1260.86094175
TCGA-G9-7510-01A,9752.52345418,11332.1753279,10258.4308714,8073.17956602,6824.0752747,7846.09503933,6231.87174975,3275.11349331,4919.35860934,5496.2160077
TCGA-V1-A9OT-01A,43373.2082981,41163.8965652,36944.8339768,31337.9839869,30837.84249,33179.9229417,23683.6247775,14270.3163732,1961.9629106,3737.28586634
TCGA-CH-5743-01A,7908.40576607,5556.02962194,7178.62530672,8489.17467496,5669.00823975,5874.1964818000015,5294.44465263,5278.45822688,1249.45384088,2933.51376798
