TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-AA-3556-01A-01R-0821-07,7629.990234,7198.007812,8194.457031,5497.195801,4710.14502,3336.249756,1744.678467,4308.147461,5937.870605,3074.87793
TCGA-AZ-4614-01A-01R-1410-07,13976.0918,9586.474609,8009.054688,11221.99609,8206.256836,4622.386719,6889.828613,4608.785645,4325.030762,8001.889648
TCGA-CK-5913-01A-11R-1653-07,11828.84082,10013.07617,5999.769531,11120.04883,5936.810059,9282.545898,4942.883301,1940.595703,6486.701172,5518.304688
TCGA-CA-5255-01A-11R-1839-07,23131.98438,14999.05371,20785.32617,20956.14258,17583.28516,16602.33984,12758.7666,12157.16699,7323.796875,11677.5332
TCGA-AY-A71X-01A-12R-A37K-07,27888.46094,19382.9082,27158.5332,13473.14356,16291.44727,10147.53809,8073.243652,12623.00098,4966.710938,7774.849121
TCGA-A6-A565-01A-31R-A28H-07,28580.31836,24179.18164,29436.2832,22000.17578,19425.36719,17875.50977,12975.66797,13791.21875,6520.82373,5427.42041
TCGA-AA-3692-01A-01R-0905-07,10342.86328,8467.27832,10020.07617,5886.613281,7586.658691,4461.804688,3965.389648,4284.41748,3614.521484,5637.685547
TCGA-A6-6648-01A-11R-1774-07,15209.38281,14320.3584,14834.78613,12309.32129,12682.24707,10594.375,8403.061523,4932.996094,3939.156738,7451.98584
TCGA-AA-3502-01A-01R-1410-07,11295.07031,6356.074219,11506.67676,6565.444824,6617.664062,1971.030396,3395.756592,3683.880371,6768.094727,4754.098145
TCGA-AZ-4615-01A-01R-1410-07,19093.85156,14249.24023,15554.87012,13389.75391,12915.14844,6761.233887,5386.088379,4943.353516,5850.245117,6714.60791
TCGA-AA-3517-01A-01R-0821-07,33935.88281,23907.29688,21805.72266,23594.60938,23046.30859,13545.90332,10263.16113,9174.587891,5106.615723,10182.33984
TCGA-A6-2678-01A-01R-0821-07,9274.293945,5543.30127,9361.811523,7835.309082,6604.208496,4900.116699,3053.504883,3697.505859,7498.893555,8942.959961
TCGA-AA-A00Z-01A-01R-A002-07,14660.58887,17111.71094,16848.14844,15360.66699,13845.54395,9457.499023,9399.050781,8351.513672,5348.193359,4308.751465
TCGA-G4-6586-01A-11R-1774-07,25422.57227,18558.77344,20062.36719,16370.31934,12776.59277,9835.040039,4886.39502,2976.487061,6124.498535,5024.42041
TCGA-AA-A02R-01A-01R-A00A-07,11680.69727,9274.333984,8073.388672,9287.117188,9636.782227,3763.973877,2852.375244,1616.216064,9247.833008,2677.745605
TCGA-QG-A5YX-01A-11R-A28H-07,21807.2832,19375.29688,20926.70703,14624.67188,15789.22852,11099.83008,12226.49512,2250.193115,3442.864746,6507.188477
TCGA-CM-6679-01A-11R-1839-07,14759.87793,15118.98145,11335.50391,12675.26563,9031.983398,8990.557617,6535.078613,6983.207031,5162.854004,4467.47998
TCGA-CK-6748-01A-11R-1839-07,11261.3584,11619.59668,9185.006836,14898.62012,9710.109375,11141.43262,6336.707031,5095.808105,7710.118164,12852.53223
TCGA-A6-2685-01A-01R-1410-07,9930.930664,8160.678223,8291.833008,8629.693359,5655.520996,1894.22998,2774.668213,3915.96167,12695.46582,2250.797363
TCGA-AA-3975-01A-01R-1022-07,26362.20313,25963.9668,13183.66016,22055.32031,22899.5,10702.74609,13233.97168,7224.200684,6213.914551,7639.317383
TCGA-A6-2684-01A-01R-1410-07,16181.87988,20092.09766,13805.39258,17501.81445,10130.19629,16398.60938,5378.63623,4929.581055,7949.213867,5268.020508
TCGA-G4-6311-01A-11R-1723-07,15472.82422,12393.51856,14529.62402,17412.33008,11577.20117,14523.07227,10505.4707,3544.705322,6627.949707,7344.875
TCGA-AA-A01T-01A-21R-A16W-07,35092.58203,18380.60547,26350.72852,19741.03125,17806.05859,5302.719238,7333.708984,7619.414062,19476.01563,10004.56543
TCGA-F4-6704-01A-11R-1839-07,12347.63086,11375.32129,5055.073242,10133.30762,8750.904297,7247.943848,4360.027344,6531.345703,4922.278809,4176.412109
TCGA-D5-6898-01A-11R-1928-07,8803.863281,7655.26709,8728.125977,6833.585449,6606.771973,4893.177734,4041.859863,4497.652344,6892.23584,4533.529297
TCGA-AA-3950-01A-02R-1022-07,16093.13574,19315.61914,14353.59277,11407.11231,11172.47168,7491.989746,4184.368652,4279.604492,7172.503418,6635.452148
TCGA-G4-6294-01A-11R-1774-07,36344.11719,17082.625,19624.37305,24735.69531,17860.61523,17843.04492,13854.61816,25771.66406,3990.214844,5534.359375
TCGA-NH-A5IV-01A-42R-A37K-07,16459.49414,14471.26172,20655.98047,10259.3418,10288.72363,7968.003906,6879.918457,11396.48731,4898.255859,5364.339844
TCGA-AD-6548-01A-11R-1839-07,12399.09863,9720.294922,8756.37207,9073.478516,6474.240723,7491.940918,4505.769043,4390.614746,9137.360352,3304.719482
TCGA-D5-6532-01A-11R-1723-07,9423.226562,9038.047852,6187.065918,8386.126953,7969.084961,6399.450684,5811.375977,2928.019531,4609.748047,3921.052002
