TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-ED-A8O6-01A-11R-A36F-07,75427.28906,30678.51367,14785.39844,16617.47461,14196.85449,11793.39356,12835.58008,9723.65332,14726.99414,7633.131836
TCGA-DD-A4NJ-01A-11R-A27V-07,39010.28516,11843.55078,26258.45313,25440.50586,22268.66602,26084.97656,8207.583008,21293.55859,12052.99707,21526.53125
TCGA-BC-A3KF-01A-11R-A213-07,42628.19141,48343.92969,33996.77344,26700.54492,24713.52344,25156.90234,15939.34082,21317.92969,3004.854004,17693.875
TCGA-DD-A11B-01A-11R-A131-07,62526.58984,21546.33203,26449.79492,21467.10938,13044.59375,21695.9082,4676.066406,21194.70313,12491.18359,16156.59961
TCGA-DD-A4NH-01A-11R-A27V-07,62196.83203,33392.47656,17227.4375,16967.12305,12860.7832,13445.85547,12870.93652,15924.98242,7736.858887,9950.005859
TCGA-DD-AAVR-01A-11R-A41C-07,41866.49219,39238.69531,21399.40234,15809.10059,13827.13867,16427.15625,23634.28516,12395.30859,20888.43555,9039.22168
TCGA-DD-A1EE-01A-11R-A131-07,6478.986816,9584.130859,22728.57031,14759.41504,23821.85352,24062.95117,18692.34961,21952.0625,11816.05762,18103.51953
TCGA-2Y-A9H3-01A-11R-A38B-07,49277.69922,36076.51563,19248.50977,24099.93359,24858.82617,7555.120605,13365.38184,5065.029297,7329.093262,1413.837891
TCGA-LG-A9QD-01A-11R-A38B-07,32425.61914,9127.757812,17034.79297,15319.73145,12652.61621,16470.99805,6187.860352,14105.58398,25872.54883,11218.42383
TCGA-DD-A4NA-01A-11R-A266-07,5211.811523,3.066014,31665.52539,29096.28516,15845.97852,17783.43164,1980.718262,20566.86328,8517.424805,14789.09961
TCGA-MI-A75G-01A-11R-A32O-07,42141.23047,43161.03125,11524.79199,7942.253906,13234.4502,7780.721191,16580.32227,6556.822266,10191.86133,3324.591064
TCGA-ED-A7PY-01A-11R-A33R-07,31667.5957,50265.94922,34227.89063,31150.24805,15470.37207,19301.29297,8995.515625,13120.2168,8929.530273,10930.29297
TCGA-DD-AADI-01A-11R-A41C-07,14057.02832,36108.98828,7858.365723,11793.73145,9079.007812,1807.561035,6415.777344,3679.304688,22256.4082,467.815491
TCGA-EP-A26S-01A-11R-A16W-07,20228.08008,22475.16211,27553.9082,36468.18359,36429.75,18818.32813,7994.09082,20944.73047,8784.900391,12527.11426
TCGA-DD-AAVP-01A-11R-A41C-07,70111.47656,27609.52734,18648.50391,16243.25,25049.57422,11749.74121,8783.367188,11400.52246,10187.66113,5045.157715
TCGA-KR-A7K0-01A-12R-A33R-07,36455.01953,32237.43164,24075.19336,22519.49609,19578.48828,19792.59375,20435.35547,22231.57031,16472.32422,14656.46094
TCGA-RC-A7SH-01A-11R-A38B-07,32404.11719,24055.27344,29014.375,32506.31836,37900.42188,29358.21289,8330.266602,27145.23438,2863.099609,20039.47852
