ENSG,ENSG00000198804.2,ENSG00000198938.2,ENSG00000198886.2,ENSG00000198712.1,ENSG00000210082.2,ENSG00000198727.2,ENSG00000198899.2,ENSG00000198763.3,ENSG00000198888.2,ENSG00000212907.2
TCGA-IN-A6RJ-01A,25728.3541556,17507.4126908,12818.2705502,14331.8229948,10178.8557232,7299.29507688,6037.49630958,5132.32713829,5959.22018499,3564.83827824
TCGA-RD-A8N1-01A,24205.3268569,12257.8635564,20748.3306277,9634.13329251,8199.3070714,12916.8278312,8007.72661895,10922.5488089,10575.4240609,6136.48360611
TCGA-FP-8209-01A,11294.7612543,7540.65949771,7318.8739303,4598.75490785,5701.26960377,6051.96492597,3614.12532361,4819.35105689,4720.53993013,3042.5975938
TCGA-HU-A4H0-01A,9104.8987688,6737.181640000002,5091.59546539,4141.81616117,3805.59817739,2514.5927732,3083.72200208,2868.90109242,3060.29308883,3129.53589682
TCGA-BR-8686-01A,13041.1567246,10122.832411799998,11633.528327,7586.23730444,9542.471794600002,6776.92667989,5634.42290823,7081.85326174,8546.55451681,3281.61560745
TCGA-VQ-AA6J-01A,13793.5942595,10607.0254155,11117.7206684,10781.2887074,6133.54333381,7142.16643106,7190.65072197,8145.55781547,5939.03802603,3027.73113001
TCGA-HU-A4GN-11A,21747.4034601,14547.0930254,17252.7486875,12978.909847799998,16073.5396644,11203.7039997,8986.33057039,7918.19085729,7967.78495625,7276.72191238
TCGA-HU-A4H5-01A,6179.11627557,5898.93697415,8897.54316908,4430.57537479,6748.67320023,4605.99392557,3058.52483656,4899.28588288,7593.50020782,4855.59080887
TCGA-CG-5717-01A,12387.3879051,6577.37317563,5581.08506194,5232.11704346,4718.63041194,3684.73770605,3375.486395300001,3211.82228426,2904.46353389,2681.17386241
TCGA-BR-8284-01A,10452.1180277,7366.40993245,7506.31492547,7656.47795061,3717.10140584,4357.84212581,4293.35152868,3571.46669695,2126.62657786,2768.52735031
TCGA-CD-8534-01A,32844.9101515,30723.3136182,22722.724717700006,26576.9416473,15173.5288572,15710.0408304,14327.177840399998,12263.719191700002,9482.70484844,13284.938610100002
TCGA-B7-A5TI-01A,14149.417329,11356.434474,15291.093546200002,8692.77275231,5545.28646586,11850.6716707,6658.63220826,5151.853797600002,7500.02227273,4651.62904408
TCGA-D7-6818-01A,20502.9772951,9001.99240849,8800.55820133,11989.5491254,12837.6033286,4810.96683169,7347.54318877,5053.56696384,3938.90089873,4067.3828872
TCGA-VQ-A8PX-01A,17225.8073367,10918.8583169,10552.9945015,7213.97888636,8129.03370031,8047.64723902,5542.15148037,5169.08718544,6443.29446624,2993.85399442
TCGA-BR-A4CR-01A,16359.8037611,7314.23154754,9639.24385622,7404.66816109,5241.50370371,5667.45915598,5349.95463959,3828.78635898,2526.74639937,3240.05162938
TCGA-FP-A8CX-01A,21323.4116738,14321.7165585,13211.5366386,13482.8392963,9733.54606725,6481.70865238,7238.09812689,5974.959061899999,5499.109468,4915.97775536
TCGA-CG-5721-11A,39291.9553005,33039.536560299995,21147.355906,25999.9787638,30180.0246501,14355.299805,18976.8529518,10793.1807191,12586.7384341,8631.34934164
TCGA-VQ-A928-01A,17528.5427344,10456.1906393,11061.8164371,7830.67477065,8275.66713303,6909.72372804,6089.81065921,5306.18755218,4319.10745815,3505.61944131
